
Simulation, Energy, Runtime
energy-spechmmer_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,96.960085,0.059389,
energy-speclibm_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,251.522303,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,92.453070,0.058003,
energy-specsjeng_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,711.166379,0.513660,
energy-specbzip_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,137.981024,0.085522,
energy-spechmmer_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,99.578550,0.059385,
energy-speclibm_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,259.270475,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,95.016860,0.058003,
energy-specsjeng_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,733.884326,0.513671,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,186.483371,0.085526,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,133.246617,0.059382,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,358.673206,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,127.920345,0.058010,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,1022.753631,0.513667,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,126.810998,0.085531,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,91.879198,0.059432,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,235.734992,0.174767,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,103.280420,0.070371,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,666.708725,0.513651,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_64_L2_A_8_S_1_LS_64.txt,162.050079,0.085522,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_64_L2_A_8_S_1_LS_64.txt,116.293288,0.059386,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_64_L2_A_8_S_1_LS_64.txt,308.606344,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_64_L2_A_8_S_1_LS_64.txt,111.352051,0.058010,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_64_L2_A_8_S_1_LS_64.txt,878.440435,0.513664,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_8_L2_A_8_S_1_LS_64.txt,126.545474,0.085550,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_8_L2_A_8_S_1_LS_64.txt,91.749655,0.059487,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_8_L2_A_8_S_1_LS_64.txt,235.164373,0.174787,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_8_L2_A_8_S_1_LS_64.txt,136.909024,0.097052,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_8_L2_A_8_S_1_LS_64.txt,664.969565,0.513657,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_16_S_1_LS_64.txt,127.367724,0.085456,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_16_S_1_LS_64.txt,92.273171,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_16_S_1_LS_64.txt,237.067033,0.174772,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_16_S_1_LS_64.txt,97.090255,0.065185,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_16_S_1_LS_64.txt,670.474673,0.513525,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_2_S_1_LS_64.txt,127.922921,0.085941,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_2_S_1_LS_64.txt,92.258797,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_2_S_1_LS_64.txt,236.975976,0.174772,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_2_S_1_LS_64.txt,97.055181,0.065179,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_2_S_1_LS_64.txt,670.321232,0.513651,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_32_S_1_LS_64.txt,127.369125,0.085430,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_32_S_1_LS_64.txt,92.284219,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_32_S_1_LS_64.txt,237.140612,0.174772,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_32_S_1_LS_64.txt,97.109261,0.065181,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_32_S_1_LS_64.txt,670.695277,0.513504,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_4_S_1_LS_64.txt,127.522002,0.085610,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_4_S_1_LS_64.txt,92.259866,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_4_S_1_LS_64.txt,236.987511,0.174772,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_4_S_1_LS_64.txt,97.062571,0.065183,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_4_S_1_LS_64.txt,670.356591,0.513647,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_2_LS_64.txt,126.050431,0.083982,
